Startup Name,Startup URL,Twitter URL,LinkedIn URL,Logo URL,Description,Founding Year,Invested Year
Porter,https://theporter.in/,https://twitter.com/theporterin,https://www.linkedin.com/company/theporter-in,https://d33wubrfki0l68.cloudfront.net/64ced889ef8076674796fcddba76b63aaace5ed2/5ffcf/img/c/porter-logo_w65_h65.png,Porter is an online logistics marketplace that enables intra-city pickup and deliveries.,2014,2014
Prataap Snacks,http://yellowdiamond.in/,,https://in.linkedin.com/pub/yellow-yellow-diamond/34/781/a69,https://d33wubrfki0l68.cloudfront.net/e5dd4311bc1ce58dc562792c3f0a536580b2ef5c/51015/img/c/logo-yellow-diamond_w65_h65.jpg,Prataap Snacks manufactures and markets snacks under the popular Yellow Diamond  brand name.,2009,2009
Prizm,http://www.hitachi-payments.com/,,https://in.linkedin.com/company/prizm-payment-services-pvt-ltd,https://d33wubrfki0l68.cloudfront.net/58bd7db05a3d20c8608bd83d208fdd365e576bd7/a1615/img/c/prizm-website_w65_h65.jpg,"Prizm Payment Services (acquired by Hitachi) is a leading provider of secure and innovative payments, mobile and card services.",2008,2008
RAW Pressery,http://www.rawpressery.com/,https://twitter.com/RawPressery,https://www.linkedin.com/company/raw-pressery,https://d33wubrfki0l68.cloudfront.net/58e9963864feb4e4b0ccb617253178802fa17e64/7c448/img/c/raw-pressery_w65_h65.jpg,RAW Pressery produces a range of healthy cold-pressed juices designed to cater to your every need.,2013,2013
Sai Life Sciences,http://www.sailife.com/,,http://www.linkedin.com/company/sai-life-sciences-ltd,https://d33wubrfki0l68.cloudfront.net/392dc677229f666eba7938c387880dc7a7469290/365d5/img/c/sai-life-sciences_w65_h65.png,,1999,1999
Shuttl,http://shuttl.com/,https://twitter.com/ShuttlApp,https://www.linkedin.com/company/super-highway-labs-pvt--ltd-?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-2-5%2CtarId%3A1437138630042%2Ctas%3Asuper+highwa,https://d33wubrfki0l68.cloudfront.net/b5d41150cab51d596457239fc152137aca0f70ef/06633/img/c/shuttl-jpeg_w65_h65.jpg,Shuttl is a mobile app based bus/public transport service.,2015,2015
Sourcebits,http://sourcebits.com/,https://twitter.com/Sourcebits,https://www.linkedin.com/company/sourcebits,https://d33wubrfki0l68.cloudfront.net/1bcac02e72421483a988f6cc6ca228ee6d7aca66/3393f/img/c/sourcebits_w65_h65.png,"Sourcebits provides software design and development services for smartphones, tablets and the web.",2006,2006
Stovekraft,http://stovekraft.com/,https://twitter.com/stovekraftindia,http://www.linkedin.com/company/stovekraft-pvt-ltd,https://d33wubrfki0l68.cloudfront.net/fc784db7d36838894c7bc2a476793bdf14817ad7/a6c2a/img/c/stovekraft-jpg_w65_h65.jpg,"Stovekraft is a leading manufacturer of consumer and small appliances, under the brand names Pigeon and Gilma.",1999,1999
Svarochi,,,,https://d33wubrfki0l68.cloudfront.net/1f2b51388e8de440d4afff077735cddcb1553daf/23236/img/c/svarochi-logo_w65_h65.jpg,Svarochi is a smart lighting company offering customers brighter and more beautiful homes.,2016,2016
TinyOwl,https://www.tinyowl.com/,https://twitter.com/TinyOwl_App,https://www.linkedin.com/company/tinyowl,https://d33wubrfki0l68.cloudfront.net/a9f157f254b26a21d679410342f611ac6cb8123a/ba125/img/c/tinyowl_w65_h65.png,TinyOwl is a mobile application for food delivery.,2014,2014
Truecaller,http://www.truecaller.com/,https://twitter.com/truecaller,http://www.linkedin.com/company/true-software-scandinavia-ab,https://d33wubrfki0l68.cloudfront.net/00ac27d28493fe798088c11c0eeac8cc4c16c89b/a2486/img/c/truecaller_w65_h65.jpg,Truecaller is transforming today's phonebook to make it more intelligent and useful.,2009,2009
UnitedLex,http://www.unitedlex.com/,https://twitter.com/UnitedLex,http://www.linkedin.com/company/unitedlex-corporation,https://d33wubrfki0l68.cloudfront.net/85ae7c92d55979f2ec8cecce0aa7bc2508ed57b1/aa597/img/c/unitedlex_w65_h65.jpg,UnitedLex offers technology powered legal business solutions.,2006,2006
Vasan Health Care,http://www.vasaneye.in/,https://twitter.com/vasanhealth,https://in.linkedin.com/pub/vasan-eye-care-hospital/22/40b/6b,https://d33wubrfki0l68.cloudfront.net/d588045fff017d65bfca4af8c4573e47f14670b9/b4bda/img/c/vasan_w65_h65.jpg,Vasan Health Care operates a chain of eye care and dental clinics.,2007,2007
Vini Cosmetics,,,,https://d33wubrfki0l68.cloudfront.net/e15fa92704ee56eadfd836d75155be316cea239c/a4988/img/c/vini_w65_h65.jpg,Vini Cosmetics sells popular beauty and personal care brands including Fogg and Glam-Up.,2009,2009
Vymo,https://www.getvymo.com/,https://twitter.com/teamvymo,https://www.linkedin.com/company/3069708,https://d33wubrfki0l68.cloudfront.net/3ba63733329db74de42cc4598affc8f40090c7a6/ab0e1/img/c/vymo_w65_h65.png,"Vymo, a predictive sales analytics leader that offers proactive recommendations for sales teams to drive higher outcomes.",2013,2013
Wingreens Farms,http://www.wingreensfarms.com/,https://twitter.com/WingreensFarms,https://www.linkedin.com/company/wingreens,https://d33wubrfki0l68.cloudfront.net/3a209626298de971011fc90a57055b9ba2588602/c36e1/img/c/wingreens_w65_h65.jpg,Wingreens Farms is an ethical and innovative farm to retail food and beverage company. It has pioneered the fresh dip category in India and continues to be the market leader.,2011,2011
Zefo,https://www.gozefo.com,https://twitter.com/gozefo,https://www.linkedin.com/company/zefo,https://d33wubrfki0l68.cloudfront.net/8525cc9669fc50cfd7c022165c20744862189917/3dea8/img/c/zefo_w65_h65.jpg,Zefo is a managed marketplace for consumers to buy and sell used products across multiple categories.,2015,2015
Zoomcar,http://www.zoomcar.com/,https://twitter.com/ZoomCarIndia,https://in.linkedin.com/company/zoomcar-india-pvt-ltd-,https://d33wubrfki0l68.cloudfront.net/67c160857e3a90898d92398a403c0b6029613939/91a77/img/c/zoomcar_w65_h65.jpg,Zoomcar provides car rentals in India.,2012,2012
1mg,https://www.1mg.com/,https://twitter.com/1mgofficial,https://www.linkedin.com/company/5230742,https://d33wubrfki0l68.cloudfront.net/76825f77c7b4c4699cb1845dbb2ba7bb3adf0e08/d11cb/img/c/1mg-logo_w65_h65.jpg,"1mg aims to make healthcare accessible, understandable and affordable for all Indians. It offers ePharmacy, eDiagnostics & health-information to enable consumers to better manage their health.",2015,2015
99.co,https://www.99.co/,https://twitter.com/99dotco,https://www.linkedin.com/company/99-co,https://d33wubrfki0l68.cloudfront.net/5de9b8ae9f3f90c6d07e588a38ebd47d0d8755be/28542/img/c/99-co-logo_w65_h65.png,Fastest growing property search company in Southeast Asia.,2014,2014
Appier,http://www.appier.com/en/index.html,https://twitter.com/GoAppier,http://www.linkedin.com/company/appier,https://d33wubrfki0l68.cloudfront.net/d5463c82fed64f5f0a93c13e03d086f2ffebc2a7/7c796/img/c/appier-for-website_w65_h65.png,Appier builds AI-based cross screen analytics and targeting platform for business to reach and engage their customers across multiple smart devices.,2012,2012
Awfis,https://www.awfis.com/,https://twitter.com/myawfis,https://www.linkedin.com/company-beta/6627264/,https://d33wubrfki0l68.cloudfront.net/b1b71b80a03bb29562b2923df44ad9fe53d4bf39/ee3e0/img/c/awfis-logo-new_w65_h65.jpg,Awfis is one of South Asia’s largest network of collaborative co-working spaces.,2014,2014
BankBazaar,http://www.bankbazaar.com/,https://twitter.com/bankbazaar,http://in.linkedin.com/company/bank_bazaar,https://d33wubrfki0l68.cloudfront.net/c8e144b0fe5d0435a5d10be51f83e5ff3ddca823/afcb3/img/c/bankbazaar-logo_w65_h65.png,BankBazaar helps consumers choose the right financial product for their needs.,2008,2008
BYJU's,http://byjus.com/,https://twitter.com/byjusclasses,https://www.linkedin.com/company/think-&-learn-pvt-ltd,https://d33wubrfki0l68.cloudfront.net/fd7ca1f457719ce52a6593587817938c6f95688d/8c702/img/c/byju-s-learning-app-logo_w65_h65.jpg,BYJU's is a supplementary learning company with a disruptive product in the K-12 and test prep segment.,2008,2008
Capillary,http://capillarytech.com/,https://twitter.com/capillarytech,http://www.linkedin.com/company/capillary-technologies,https://d33wubrfki0l68.cloudfront.net/bebf100a03b6234053b96de6c26add5d372ee8b6/18762/img/c/capillary-logo_w65_h65.png,"Capillary Technologies is a provider of cloud-based software solutions that enables retail marketers to quickly and easily manage their customer data, gain insights and personalize engagement across social media, mobile, e-mail, online, and in store channels, driving a significant increase in sales and loyalty.",2008,2008
Cardekho,http://www.girnarsoft.com/,https://twitter.com/girnarsoft,https://www.linkedin.com/company/girnarsoft,https://d33wubrfki0l68.cloudfront.net/35cbfde1f0706156d2c99b477241acc77eb1bda2/6c172/img/c/cardekho-logo_w65_h65.jpg,CarDekho is a popular auto portal that lists new and used cars in India and offers to-the-minute auto insights from around the world.,2006,2006
